Ptagis_ID,TDA_km2,MeanElev,Slope,Shape,Link,CLink,DLink
VALEYC,281.1528,193808.5,0.00227144,0.24067097,53,671,54
SALREF,1427.6241,165621.5,0.00803302,0.297293219,280,603,280
HERDC,300.7305,176097.5,0.01644945,0.266109003,60,611,209
SULFUC,110.7513,176592.5,0.01774259,0.236130583,24,514,24
BEARVC,396.3798,194002,1.00E-05,0.20586299,68,534,70
ELKC,377.3439,194673.5,0.00171806,0.283642005,64,541,64
MARSHC,204.1839,197948.5,0.00813822,0.211337049,33,534,34
CAPEHC,70.7625,199743.5,0.00945403,0.215662404,12,535,33
LOONC,343.5372,165039.5,0.01026785,0.326547202,69,449,70
BIG2C,1431.4725,116629,1.00E-05,0.30695081,211,366,213
BIGC,72.4104,173261,0.0085987,0.287832491,8,403,16
RUSHC,243.5004,121062,0.02103939,0.309238381,36,367,211
CAMASC,480.6252,157153,1.00E-05,0.505071093,79,416,99
CHAMWF,58.2255,168116.5,0.01300113,0.274430651,9,316,35
CHAMBC,139.1193,169403,1.00E-05,0.244000934,25,317,26
SECESR,291.1383,173462,1.00E-05,0.206733876,38,308,41
LAKEC,100.3266,185641.5,0.00502116,0.262361711,13,321,14
SALRSF,240.0759,155430.5,0.00469118,0.275832635,37,338,43
