Old,Official,Ptagis,Short
BEAR VALLEY,Bear Valley Creek,BEARVC,BV
BEAR VALLEY CR.,Bear Valley Creek,BEARVC,BV
BEARVC,Bear Valley Creek,BEARVC,BV
BIG CREEK,Big Creek (lower),BIG2C,BL
BIG2C,Big Creek (lower),BIG2C,BL
BIGC,Big Creek (upper),BIGC,BU
CAMASC,Camas Creek,CAMASC,CA
CAPE HORN CR.,Cape Horn Creek,CAPEHC,CH
CAPEHC,Cape Horn Creek,CAPEHC,CH
CHAMBC,Chamberlain Creek,CHAMBC,CL
CHAMWF,W. F. Chamberlain Creek,CHAMWF,WC
EAST FORK SALMON,East Fork Salmon River,SALREF,EF
ELK CR,Elk Creek,ELKC,EL
ELKC,Elk Creek,ELKC,EL
HERDC,Herd Creek,HERDC,HE
KNOXB,South Fork Salmon River,SALRSF,SF
LAKEC,Lake Creek,LAKEC,LA
LOONC,Loon Creek,LOONC,LO
MARSH CR,Marsh Creek,MARSHC,MA
MARSHC,Marsh Creek,MARSHC,MA
RUSHC,Rush Creek,RUSHC,RU
SALREF,East Fork Salmon River,SALREF,EF
SALRSF,South Fork Salmon River,SALRSF,SF
SALRSF ,South Fork Salmon River,SALRSF,SF
SECESH R,Secesh River,SECESR,SE
SECESR,Secesh River,SECESR,SE
SOUTH FORK SALMON R.,South Fork Salmon River,SALRSF,SF
SUL,Sulphur Creek,SULFUC,SU
SULFUC,Sulphur Creek,SULFUC,SU
SULFUR,Sulphur Creek,SULFUC,SU
VALEYC,Valley Creek,VALEYC,VA
VALLEY CR,Valley Creek,VALEYC,VA
